doctor_name,doctor_type,experience_years,location,hospital,fees,city
Dr. Bansode Pradeep Eknathrao,General Surgeon,15,"Wakad , Pune",Sunmed Hospital,500.0,Pune
Dr. Mene Pranav Prakash,General Surgeon,13,"Wakad , Pune",Sunmed Hospital,700.0,Pune
Dr. Manish Kashyap,General Surgeon,12,"Bhosari , Pune",Medicover Hospital,1000.0,Pune
Dr. Govinda N,General Physician,22,"Sasanenagar , Pune",Om Dental Clinc,500.0,Pune
Dr. Moulik Gupta,General Surgeon,12,"Wanowrie , Pune",Ruby Hall Clinic,900.0,Pune
Dr. Dhaval Patel,Laparoscopic Surgeon,17,"Vadaj , Ahmedabad",Gayatri hospital and research center,800.0,Ahmedabad
Dr. Nemi Goriwal,Gastroenterologist,38,"Sola , Ahmedabad",HCG Aastha Cancer Centre,1500.0,Ahmedabad
Dr. Jagdish Kothari,General Surgeon,41,"Sola , Ahmedabad",HCG Aastha Cancer Centre,1500.0,Ahmedabad
Dr. Dushyant Mandlik,General Surgeon,25,"Sola , Ahmedabad",HCG Aastha Cancer Centre,1500.0,Ahmedabad
Dr. Kamlesh Ram,General Surgeon,19,"Memnagar , Ahmedabad",Dr. Ram’s Advanced Surgical Hospital,1500.0,Ahmedabad
Dr. Pathak Harsh Dilipkumar,General Physician,15,"Paldi , Ahmedabad",Bodyline Hospital,600.0,Ahmedabad
Dr. Kelawala Zalak Bhadreshbhai,Oncologist,12,"Paldi , Ahmedabad",Bodyline Hospital,1100.0,Ahmedabad
Dr. Chirag J. Shah,Laparoscopic Surgeon,25,"Satellite Road , Ahmedabad",Arham Surgical Hospital & Laparoscopic center,1000.0,Ahmedabad
Dr. Kinnar Kapadia,Hair Transplant Surgeon,25,"Sola , Ahmedabad",Avenues Hair Transplant And Plastic Surgery Center,600.0,Ahmedabad
Dr. Tapan Shah,General Physician,23,"Satellite , Ahmedabad",Sangini Hospital,1200.0,Ahmedabad
Dr. Chirag Desai,General Practitioner,33,"Bhat , Ahmedabad",Apollo Hospital,1200.0,Ahmedabad
Dr. Manjulata Anchalia,General Surgeon,50,"Bhat , Ahmedabad",Apollo Hospital,700.0,Ahmedabad
Dr. Kruti Godhani,General Physician,16,"Nava Vadaj , Ahmedabad",Ved Multispecility Clinic & Diagnostics,800.0,Ahmedabad
Dr. Shrikant Lagvankar,General Physician,46,"Bhat , Ahmedabad",Apollo Hospital,1000.0,Ahmedabad
Dr. Pankaj Dubey,General Physician,29,"Bhat , Ahmedabad",Apollo Hospital,800.0,Ahmedabad
Dr. Tushar Lakhia,General Surgeon,49,"Ambawadi , Ahmedabad",Apollo Hospitals City Centre,900.0,Ahmedabad
Dr. Adheesh Goriwal,Laparoscopic Surgeon,13,"Thaltej , Ahmedabad",SAL Hospital,1000.0,Ahmedabad
Dr. Anagha Santosh Zope,General Surgeon,32,"Bhat , Ahmedabad",Apollo Hospital,1100.0,Ahmedabad
Dr. Swati Upadhayay,General Surgeon,40,"Bhat , Ahmedabad",Apollo Hospital,700.0,Ahmedabad
Dr. Pooja Sharma,General Physician,4,"Satellite , Ahmedabad",Musk Clinic,1000.0,Ahmedabad
Dr. Shubha Sinha,General Surgeon,18,"Ambawadi , Ahmedabad",Apollo Hospitals City Centre,1100.0,Ahmedabad
Dr. Jayesh Pavra,Internal Medicine,31,"Bopal , Ahmedabad",The Health Care PolyClinic,1000.0,Ahmedabad
Dr. V R Tindwani,General Physician,52,"Kubernagar , Ahmedabad",Dr V R Tindwani Clinic,600.0,Ahmedabad
Dr. Vishnu Sharma,Rheumatologist,24,"Satellite , Ahmedabad",Arthritis Care Clinic,1600.0,Ahmedabad
Dr. Shakuntala V Shah,General Physician,51,"Ambawadi , Ahmedabad",Apollo Hospitals City Centre,,Ahmedabad
Dr. Manish Agrawal,General Physician,31,"Satellite , Ahmedabad",Medilink Hospital & Research Centre,1200.0,Ahmedabad
Dr. Hitesh Chavda,General Physician,32,"Memnagar , Ahmedabad",Sterling Hospital,2000.0,Ahmedabad
Dr. Kaushik Gajjar,General Surgeon,45,"Sabarmati , Ahmedabad",Parth Hospital,800.0,Ahmedabad
Dr. Manish Joshi,General Physician,30,"Bhat , Ahmedabad",Apollo Hospital,700.0,Ahmedabad
Dr. Priyanka Srivastava,General Physician,8,"Ambawadi , Ahmedabad",Apollo Hospitals City Centre,,Ahmedabad
Dr. Agam J Gaargiya,Spine And Pain Specialist,17,"Satellite , Ahmedabad",Orchids ICU & Hospital,1200.0,Ahmedabad
Dr. B K Kedia,General Physician,44,"Bhat , Ahmedabad",Apollo Hospital,800.0,Ahmedabad
Dr. Bhaskar Thakkar,Pathologist,24,"Vastrapur , Ahmedabad",Life Care Pathology Laboratory,500.0,Ahmedabad
Dr. Pooja Solanki,General Physician,15,"Bhat , Ahmedabad",Apollo Hospital,1000.0,Ahmedabad
Dr. Anand Subramaniam Iyer,General Physician,26,"Bhat , Ahmedabad",Apollo Hospital,1000.0,Ahmedabad
Dr. Bhavin Shah,General Physician,31,"Bodakdev , Ahmedabad",Sterling Hospital,3000.0,Ahmedabad
Dr. Robin Bothra,General Surgeon,23,"Nirman Nagar , Jaipur",R N Multispeciality Hospital,400.0,Jaipur
Dr. Mukesh Jain,General Physician,33,"Sector 7 , Jaipur",Tagore Hospital & Research Institute,500.0,Jaipur
Dr. Raghav Johari,General Surgeon,27,"Sector 7 , Jaipur",Tagore Hospital & Research Institute,1100.0,Jaipur
Dr. A. K . Mathur,General Surgeon,52,"Mansarovar , Jaipur",Priyush Neuro And Superspeciality Hospital,550.0,Jaipur
