doctor_name,doctor_type,experience_years,location,hospital,fees,city
Dr. Mathu Soothanan,General Surgeon,22,"Aminjikarai , Chennai",CFC Multispeciality Hospital,1000.0,Chennai
Dr. Sankar Narayanan M L,GastroIntestinal Surgeon,18,"Shenoy Nagar , Chennai",Billroth Hospitals,550.0,Chennai
Dr. Neelamegam Thoppa Kapali,General Surgeon,42,"Ramapuram , Chennai",SRM Prime Hospital,750.0,Chennai
Dr. Praveen Kumar Reddy,General Physician,16,"Ramapuram , Chennai",SRM Prime Hospital,500.0,Chennai
Dr. Balakumaran S,Gastroenterologist,23,"Chetpet , Chennai",VS Hospitals,800.0,Chennai
Dr. Yeshwanth T R,General Surgeon,35,"Ramapuram , Chennai",SRM Prime Hospital,600.0,Chennai
Dr. Thirumanikandan,Oncologist,16,"Kilpauk , Chennai",Kannapa Memorial Hospital,800.0,Chennai
Dr. Sandhya S,Cardiologist,17,"Mogappair , Chennai",Frontier Lifeline Hospital,1000.0,Chennai
Dr. Senthil Kumar,General Physician,22,"Aminjikarai , Chennai",CFC Multispeciality Hospital,1000.0,Chennai
Dr. Kaundinya Kiran Bharatam,Laparoscopic Surgeon,23,"Kelambakkam , Chennai",Chettinad Super Speciality Hospital,800.0,Chennai
Dr. Moosa Kunhi,General Surgeon,44,"Kolathur , Chennai",Meridian Hospital,1000.0,Chennai
Dr. Ravindra Kumar,General Physician,26,"Ramapuram , Chennai",SRM Prime Hospital,600.0,Chennai
Dr. V.T.S.Arul Sivakumar,Plastic Surgeon,20,"Chromepet , Chennai",Dr Kumar's Speciality Hospital,750.0,Chennai
Dr. Arun Chander,General Surgeon,16,"Chromepet , Chennai",Dr Kumar's Speciality Hospital,600.0,Chennai
Dr. Nancy Glory,Pulmonologist,27,"Purasawakkam , Chennai",Narayanaa Hospital,700.0,Chennai
Dr. Sam Jacob,Cardiologist,17,"Mogappair , Chennai",Frontier Lifeline Hospital,1000.0,Chennai
Mr. Tharun Ganapathy,General Physician,18,"Kilpauk , Chennai",Murugan Hospitals,950.0,Chennai
Dr. Shankar Mahadevaswamy Geeniga,Anesthesiologist,23,"Ramapuram , Chennai",SRM Prime Hospital,600.0,Chennai
Dr. Rajasekaran M,General Physician,17,"Aminjikarai , Chennai",CFC Multispeciality Hospital,1000.0,Chennai
Dr. Vinoth Gnana Chellaiyan,General Physician,17,"Kelambakkam , Chennai",Chettinad Super Speciality Hospital,800.0,Chennai
Dr. Anirudh Janavikulam Rajkumar,General Surgeon,15,"Kilpauk , Chennai",Lifeline Rigid Hospitals,900.0,Chennai
Dr. Natesan C,Internal Medicine,59,"Vadapalani , Chennai",Sooriya Hospital - Vadapalani,500.0,Chennai
Dr. Naba Kumar Saha,General Surgeon,30,"Bhawanipore , Kolkata",Sl Artemis Medical Centre Pvt Ltd,1500.0,Kolkata
Dr. Gaurav Priyadarshan,General Surgeon,15,"Bhawanipore , Kolkata",Sl Artemis Medical Centre Pvt Ltd,1200.0,Kolkata
Dr. Pratik Kumar Mitra,Anesthesiologist,16,"Beliaghata , Kolkata",Techno India Dama Healthcare & Medical Centre,1100.0,Kolkata
Dr. Koushik Basu,General Physician,24,"Beliaghata , Kolkata",Techno India Dama Healthcare & Medical Centre,800.0,Kolkata
Dr. Rahul Dhar,General Surgeon,15,"Bhawanipore , Kolkata",Sl Artemis Medical Centre Pvt Ltd,1500.0,Kolkata
Dr. Prasenjit Bhattacharya,General Surgeon,18,"Bhawanipore , Kolkata",Samaritan Clinic Private Limited,1600.0,Kolkata
Dr. Mainak Pal,General Surgeon,18,"Bhawanipore , Kolkata",Samaritan Clinic Private Limited,1300.0,Kolkata
Dr. Debtanu Bhattacharya,General Surgeon,30,"Bhawanipore , Kolkata",Sl Artemis Medical Centre Pvt Ltd,1200.0,Kolkata
Dr. Ranjit Kumar Halder,General Physician,26,"Bhawanipore , Kolkata",Samaritan Clinic Private Limited,1500.0,Kolkata
Dr. Amit Kumar Das,General Surgeon,17,"Bhawanipore , Kolkata",Sl Artemis Medical Centre Pvt Ltd,800.0,Kolkata
Dr. Mukesh Kumar Vijay,Urologist,25,"Bhawanipore , Kolkata",Sl Artemis Medical Centre Pvt Ltd,2000.0,Kolkata
Dr. Chayan Kumar Roy,General Physician,31,"Beliaghata , Kolkata",Techno India Dama Healthcare & Medical Centre,700.0,Kolkata
Dr. Pallab Saha,General Surgeon,28,"Bhawanipore , Kolkata",Sl Artemis Medical Centre Pvt Ltd,1300.0,Kolkata
Dr. Utpal Chaudhuri,General Physician,48,"Beliaghata , Kolkata",Techno India Dama Healthcare & Medical Centre,1300.0,Kolkata
